5.800367,29.43457;196.9231,32.15825
18.7361,29.62193;224.8162,-11.08727
33.06112,30.74535;0,36.93682
28.94661,33.90317;-50.98717,60.37784
24.32148,38.93284;-89.91922,95.37328
17.4299,42.8717;-127.126,51.14714
11.56529,43.9871;-83.41296,2.681077
8.593472,44.51722;-33.00613,11.83625
8.328408,43.71757;9.410977,-25.60238
10.5535,40.68687;50.67434,-62.78409
11.50904,38.3488;-1.011176,-27.34707
9.822604,38.40753;-41.4272,14.73595
5.815523,40.87802;-79.27862,54.15453
-0.3721075,45.6201;-114.8731,91.26593
-7.533792,53.11005;-121.6207,141.3224
-12.93657,59.74331;-74.62542,95.5332
-17.13284,62.59547;-102.0444,49.89891
-21.92372,63.401;-69.03802,-4.389539
-24.05763,61.72442;-19.2778,-39.45877
-22.95346,59.31659;36.81371,-40.55478
-19.04261,55.549;79.1294,-73.7439
-12.79426,49.75072;116.4471,-107.9054
-8.009355,42.95519;61.83152,-115.9268
-5.868786,38.14475;22.90208,-62.71889
-5.001102,36.62365;10.31808,-7.141667
-5.928976,37.29624;-28.15383,20.2492
-5.977029,37.48367;12.40287,-5.118674
-3.772897,35.94828;48.72362,-35.65514
-1.986072,32.6519;20.57458,-64.43013
-2.369572,27.68646;-19.57416,-91.81271
-4.110471,21.60164;-33.65439,-106.1913
-5.827034,15.83937;-26.16086,-91.13383
-8.610196,10.61427;-56.31051,-85.17735
-9.870535,4.519095;-3.762727,-109.6897
-7.917661,2.403216;50.24237,-4.839208
-2.877151,2.933026;100.6029,10.75202
0.8632711,2.42702;43.67439,-17.80104
3.356792,4.659866;40.5925,53.62526
7.248539,8.65856;76.79856,73.0852
10.92355,11.08849;53.67924,24.59794
13.6245,10.26926;40.86395,-32.33238
14.71712,6.624504;7.184215,-74.72079
16.06571,4.302683;45.27805,-45.52598
17.12828,3.445424;4.234952,0.8866917
15.87438,5.22971;-33.24054,43.94615
12.43066,9.468714;-69.27596,83.79439
